"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Mar., 2018"	"2018/03"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	1	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	371	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	528	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Salmonella infections (A01-A02)"	"GR113-001"	2	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	687	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Tuberculosis (A16-A19)"	"GR113-004"	36	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Respiratory tuberculosis (A16)"	"GR113-005"	20	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other tuberculosis (A17-A19)"	"GR113-006"	16	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Whooping cough (A37)"	"GR113-007"	3	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Meningococcal infection (A39)"	"GR113-009"	3	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Septicemia (A40-A41)"	"GR113-010"	3278	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Syphilis (A50-A53)"	"GR113-011"	2	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Viral hepatitis (B15-B19)"	"GR113-015"	419	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	451	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Malaria (B50-B54)"	"GR113-017"	1	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	626	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	48786	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	796	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	1285	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	929	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	4309	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	2263	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	3681	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	284	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	11810	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant melanoma of skin (C43)"	"GR113-028"	679	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of breast (C50)"	"GR113-029"	3454	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	341	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	869	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	1147	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	2558	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	1098	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	1326	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	1377	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	4651	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Hodgkin disease (C81)"	"GR113-038"	77	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	1620	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Leukemia (C91-C95)"	"GR113-040"	1940	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	1005	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	9	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	5929	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	1331	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Anemias (D50-D64)"	"GR113-045"	446	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	7032	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	770	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malnutrition (E40-E46)"	"GR113-048"	752	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	18	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Meningitis (G00,G03)"	"GR113-050"	59	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Parkinson disease (G20-G21)"	"GR113-051"	2700	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Alzheimer disease (G30)"	"GR113-052"	9902	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	71535	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	54235	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	321	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Hypertensive heart disease (I11)"	"GR113-056"	4078	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	703	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	30170	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	9080	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	343	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	20747	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	5235	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	15512	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other heart diseases (I26-I51)"	"GR113-064"	18963	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Acute and subacute endocarditis (I33)"	"GR113-065"	152	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	77	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Heart failure (I50)"	"GR113-067"	7083	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	11651	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	2885	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	12312	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Atherosclerosis (I70)"	"GR113-071"	438	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	1665	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	816	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	849	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	380	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	4633	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Influenza (J09-J11)"	"GR113-077"	608	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Pneumonia (J12-J18)"	"GR113-078"	4025	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	22	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	14	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	8	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13857	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	48	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Emphysema (J43)"	"GR113-084"	640	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Asthma (J45-J46)"	"GR113-085"	315	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	12854	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Pneumoconioses and chemical effects (J60-J66,J68)"	"GR113-087"	55	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	1629	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	3688	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Peptic ulcer (K25-K28)"	"GR113-090"	272	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Diseases of appendix (K35-K38)"	"GR113-091"	27	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Hernia (K40-K46)"	"GR113-092"	163	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	3480	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Alcoholic liver disease (K70)"	"GR113-094"	1798	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	1682	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	321	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	4219	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	57	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	18	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Renal failure (N17-N19)"	"GR113-100"	4144	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	85	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Hyperplasia of prostate (N40)"	"GR113-103"	58	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	13	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	74	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	1	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	73	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	860	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	844	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	2552	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other diseases (Residual) "	"GR113-111"	28182	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	13275	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	3194	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	2979	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	67	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	148	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	10081	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Falls (W00-W19)"	"GR113-118"	3006	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	36	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	247	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	251	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	5124	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	1417	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	3920	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	2023	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	1897	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	1572	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	1134	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	438	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	51	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	484	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	30	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	454	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	2	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	377	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	479	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Salmonella infections (A01-A02)"	"GR113-001"	3	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	673	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Tuberculosis (A16-A19)"	"GR113-004"	42	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Respiratory tuberculosis (A16)"	"GR113-005"	28	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other tuberculosis (A17-A19)"	"GR113-006"	14	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Meningococcal infection (A39)"	"GR113-009"	2	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Septicemia (A40-A41)"	"GR113-010"	3092	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Viral hepatitis (B15-B19)"	"GR113-015"	418	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	450	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	566	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	49582	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	851	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	1268	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	941	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	4299	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	2305	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	3723	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	334	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	11832	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant melanoma of skin (C43)"	"GR113-028"	712	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of breast (C50)"	"GR113-029"	3537	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	350	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	903	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	1192	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	2606	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	1210	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	1321	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	1434	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	4705	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Hodgkin disease (C81)"	"GR113-038"	102	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	1611	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Leukemia (C91-C95)"	"GR113-040"	1907	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	1075	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	10	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	6059	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	1274	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Anemias (D50-D64)"	"GR113-045"	405	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	6805	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	726	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malnutrition (E40-E46)"	"GR113-048"	706	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	20	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Meningitis (G00,G03)"	"GR113-050"	45	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Parkinson disease (G20-G21)"	"GR113-051"	2646	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Alzheimer disease (G30)"	"GR113-052"	9333	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	69984	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	53298	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	307	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Hypertensive heart disease (I11)"	"GR113-056"	4104	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	691	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	29553	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	8745	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	349	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	20459	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	5324	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	15135	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other heart diseases (I26-I51)"	"GR113-064"	18643	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Acute and subacute endocarditis (I33)"	"GR113-065"	134	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	87	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Heart failure (I50)"	"GR113-067"	6992	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	11430	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	2874	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	11812	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Atherosclerosis (I70)"	"GR113-071"	361	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	1639	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	787	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	852	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	368	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	3588	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Influenza (J09-J11)"	"GR113-077"	153	Not Applicable	Not Applicable
